"","Age","Gender","X","X.1","X.2","X.3","X.4","age_grouping"
"1",22,"Male",NA,NA,NA,NA,NA,"20-24"
"2",43,"Male",NA,NA,NA,NA,NA,"40-44"
"3",24,"Male",NA,NA,NA,NA,NA,"20-24"
"4",23,"Male",NA,NA,NA,NA,NA,"20-24"
"5",23,"Male",NA,NA,NA,NA,NA,"20-24"
"7",24,"Male",NA,NA,NA,NA,NA,"20-24"
"8",26,"Male",NA,NA,NA,NA,NA,"25-29"
"10",75,"Male",NA,NA,NA,NA,NA,"70-74"
"11",67,"Male",NA,NA,NA,NA,NA,"65-69"
"12",48,"Male",NA,NA,NA,NA,NA,"45-49"
"13",80,"Male",NA,NA,NA,NA,NA,"75-79"
"14",83,"Male",NA,NA,NA,NA,NA,"80-84"
"15",42,"Male",NA,NA,NA,NA,NA,"40-44"
"16",77,"Male",NA,NA,NA,NA,NA,"75-79"
"17",24,"Male",NA,NA,NA,NA,NA,"20-24"
"18",24,"Male",NA,NA,NA,NA,NA,"20-24"
"20",26,"Male",NA,NA,NA,NA,NA,"25-29"
"23",24,"Male",NA,NA,NA,NA,NA,"20-24"
"24",58,"Male",NA,NA,NA,NA,NA,"55-59"
"25",30,"Male",NA,NA,NA,NA,NA,"25-29"
"26",32,"Male",NA,NA,NA,NA,NA,"30-34"
"27",26,"Male",NA,NA,NA,NA,NA,"25-29"
"30",26,"Male",NA,NA,NA,NA,NA,"25-29"
"31",29,"Male",NA,NA,NA,NA,NA,"25-29"
"32",30,"Male",NA,NA,NA,NA,NA,"25-29"
"33",33,"Male",NA,NA,NA,NA,NA,"30-34"
"35",35,"Male",NA,NA,NA,NA,NA,"30-34"
"36",35,"Male",NA,NA,NA,NA,NA,"30-34"
"37",35,"Male",NA,NA,NA,NA,NA,"30-34"
"38",30,"Male",NA,NA,NA,NA,NA,"25-29"
"39",40,"Male",NA,NA,NA,NA,NA,"35-39"
"40",40,"Male",NA,NA,NA,NA,NA,"35-39"
"41",42,"Male",NA,NA,NA,NA,NA,"40-44"
"42",29,"Male",NA,NA,NA,NA,NA,"25-29"
"43",28,"Male",NA,NA,NA,NA,NA,"25-29"
"44",30,"Male",NA,NA,NA,NA,NA,"25-29"
"45",33,"Male",NA,NA,NA,NA,NA,"30-34"
"46",35,"Male",NA,NA,NA,NA,NA,"30-34"
"48",40,"Male",NA,NA,NA,NA,NA,"35-39"
"49",40,"Male",NA,NA,NA,NA,NA,"35-39"
"50",40,"Male",NA,NA,NA,NA,NA,"35-39"
"53",30,"Male",NA,NA,NA,NA,NA,"25-29"
"54",27,"Male",NA,NA,NA,NA,NA,"25-29"
"55",42,"Male",NA,NA,NA,NA,NA,"40-44"
"56",30,"Male",NA,NA,NA,NA,NA,"25-29"
"57",30,"Male",NA,NA,NA,NA,NA,"25-29"
"58",25,"Male",NA,NA,NA,NA,NA,"20-24"
"59",39,"Male",NA,NA,NA,NA,NA,"35-39"
"60",26,"Male",NA,NA,NA,NA,NA,"25-29"
"61",29,"Male",NA,NA,NA,NA,NA,"25-29"
"62",42,"Male",NA,NA,NA,NA,NA,"40-44"
"63",32,"Male",NA,NA,NA,NA,NA,"30-34"
"64",33,"Male",NA,NA,NA,NA,NA,"30-34"
"65",36,"Male",NA,NA,NA,NA,NA,"35-39"
"66",35,"Male",NA,NA,NA,NA,NA,"30-34"
"67",26,"Male",NA,NA,NA,NA,NA,"25-29"
"68",33,"Male",NA,NA,NA,NA,NA,"30-34"
"70",34,"Male",NA,NA,NA,NA,NA,"30-34"
"72",30,"Male",NA,NA,NA,NA,NA,"25-29"
"73",35,"Male",NA,NA,NA,NA,NA,"30-34"
"74",35,"Male",NA,NA,NA,NA,NA,"30-34"
"75",45,"Male",NA,NA,NA,NA,NA,"40-44"
"76",60,"Male",NA,NA,NA,NA,NA,"55-59"
"77",49,"Male",NA,NA,NA,NA,NA,"45-49"
"78",30,"Male",NA,NA,NA,NA,NA,"25-29"
"79",30,"Male",NA,NA,NA,NA,NA,"25-29"
"80",33,"Male",NA,NA,NA,NA,NA,"30-34"
"82",30,"Male",NA,NA,NA,NA,NA,"25-29"
"83",30,"Male",NA,NA,NA,NA,NA,"25-29"
"84",35,"Male",NA,NA,NA,NA,NA,"30-34"
"85",28,"Male",NA,NA,NA,NA,NA,"25-29"
"86",26,"Male",NA,NA,NA,NA,NA,"25-29"
"87",33,"Male",NA,NA,NA,NA,NA,"30-34"
"88",30,"Male",NA,NA,NA,NA,NA,"25-29"
"89",33,"Male",NA,NA,NA,NA,NA,"30-34"
"91",32,"Male",NA,NA,NA,NA,NA,"30-34"
"93",30,"Male",NA,NA,NA,NA,NA,"25-29"
"95",30,"Male",NA,NA,NA,NA,NA,"25-29"
"96",56,"Male",NA,NA,NA,NA,NA,"55-59"
"97",37,"Male",NA,NA,NA,NA,NA,"35-39"
"98",45,"Male",NA,NA,NA,NA,NA,"40-44"
"99",25,"Male",NA,NA,NA,NA,NA,"20-24"
"100",45,"Male",NA,NA,NA,NA,NA,"40-44"
"101",25,"Male",NA,NA,NA,NA,NA,"20-24"
